Datum,O_NO,O_NO2,O_PM10,D_RH,D_Temperature,D_NO,D_NO2,D_PM10,N_Pressure_[mbar],N_RH,N_Temperature,N_Percipitation,N_NO,N_NO2,N_PM10,N_WindSpeed,N_WinDir,N_O3,W_RH,W_Temperature,W_NO,W_NO2,W_PM10,W_WindSpeed,W_WinDir,S_RH,S_Temperature,S_NO,S_NO2,S_PM10,S_WindSpeed,S_WinDir,S_O3,dayofyear,year,weekdays_Friday,weekdays_Monday,weekdays_Saturday,weekdays_Sunday,weekdays_Thursday,weekdays_Tuesday,weekdays_Wednesday,months_Apr,months_Aug,months_Dec,months_Feb,months_Jan,months_Jul,months_Jun,months_Mar,months_May,months_Nov,months_Oct,months_Sep,season_fall,season_spring,season_summer,season_winter,S_Ox,N_Ox
2014-01-03,27.044508,33.078587,33.240788,84.53933,1.5737745,85.29172,48.582783,36.406948,972.7744,82.487946,2.1727066,0.0,12.906034,28.676586,22.173819,0.7076905,172.00478,6.5662518,80.53962,2.0693016,28.499367,31.314337,23.5427,0.48168612,122.244286,84.56976,1.9565644,55.06017,38.59298,40.209545,0.4012134,189.5627,5.2771416,003,2014,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,43.8701216,35.242837800000004
2014-01-04,76.73489,45.691574,35.1369,86.434944,1.8772804,182.96892,64.97192,47.56368,976.4117,76.029884,4.20678,0.0,35.57945,42.875824,21.210737,0.9859484,186.50189,5.5230927,82.52537,2.6594832,72.74748,41.68254,31.892168,0.22150777,214.96344,86.50281,1.8574389,112.49666,45.415955,52.475697,0.33784115,197.6411,2.933523,004,2014,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,48.349478,48.3989167
2014-01-05,67.93601,43.145794,38.69941,87.66901,2.9770281,135.0722,57.610313,44.967632,974.8875,75.42538,5.2543035,0.006323844,33.704136,42.98517,23.921448,0.7929852,204.76562,5.9108324,84.27163,3.7100039,62.933582,42.05543,33.623203,0.21794218,191.09937,88.16489,2.850694,91.93931,45.520584,50.661392,0.352658,198.59271,0.7736523,005,2014,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,46.2942363,48.8960024
2014-01-06,24.438995,27.48951,24.61748,90.02776,6.434778,46.488033,35.10324,22.485878,968.6123,87.90371,7.0009866,0.1321488,8.273366,22.299494,17.746695,1.0825216,174.02173,18.859678,86.006615,6.9488873,18.156334,24.53185,20.429266,0.67980313,204.3575,91.90256,6.398849,26.946396,28.551937,31.35357,0.82572395,239.05446,14.379658,006,2014,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,42.931595,41.159172
2014-01-07,27.822971,30.843777,20.0363,89.4031,5.6432805,54.12384,43.06236,22.894232,978.2353,82.01603,6.6473393,0.0,6.963184,24.20225,12.177215,0.5765081,196.87903,17.906303,83.65411,6.293752,21.950506,29.922361,15.761119,0.20822042,181.61009,90.653694,5.678219,26.43976,29.680586,26.242592,0.3563529,151.07222,11.764759,007,2014,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,41.445345,42.108553
2014-01-08,99.47941,38.005478,40.152153,92.77961,2.4844208,195.37042,59.0658,39.56626,980.461,90.290474,3.724789,0.0,67.02102,33.515736,27.11741,0.463617,138.15031,1.0392987,89.55231,3.344552,104.13221,37.846943,31.658257,0.25103357,167.30074,95.19022,2.561053,144.54843,42.437027,43.547977,0.29548168,188.70052,1.1279542,008,2014,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,43.5649812,34.5550347
2014-01-09,118.55658,37.30289,35.63461,94.261406,0.9636383,188.53671,51.08892,38.92682,983.0703,92.029724,2.1061103,0.0,148.6213,44.31998,48.21352,0.43910828,160.5211,0.7942001,91.26682,1.6136266,158.29286,41.24387,37.409145,0.30076727,184.59387,98.74432,0.826087,122.5581,38.347263,35.378426,0.33733752,167.98395,0.61638653,009,2014,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,38.96364953,45.1141801
2014-01-10,157.43451,43.304836,40.588882,92.32626,1.5101391,206.39784,56.202354,39.83466,977.84186,90.65608,2.3969963,0.0,183.4342,48.44432,49.478516,0.39843145,138.69865,0.58996993,88.74188,2.023194,177.98398,44.973072,37.891453,0.31032613,182.26874,96.28458,1.3962412,131.38643,40.40137,37.567974,0.3496927,164.34543,0.78085625,010,2014,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,41.18222625,49.03428993
2014-01-11,97.85231,42.35517,34.559803,89.41648,2.8394156,143.50607,55.895985,37.042507,976.3618,87.4847,3.2991257,0.0,82.91748,39.06018,36.93489,0.43957472,204.79878,2.82391,84.9,3.3965847,89.01023,39.44097,29.285254,0.36112845,156.68114,92.04185,3.1153176,93.09709,41.20474,43.277637,0.4001795,190.75037,2.9606063,011,2014,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,44.1653463,41.88409
2014-01-12,39.195435,37.86846,41.672867,86.711525,3.4167206,84.75578,49.86658,41.046112,978.70844,84.38109,3.476547,0.0,27.204304,35.820965,30.945763,0.61641854,122.31721,2.7649374,83.07736,3.682149,35.607815,37.12005,29.434488,0.39534274,136.58873,86.5044,3.532181,38.40759,38.69288,40.728527,0.46921685,212.30882,3.8537338,012,2014,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,42.5466138,38.5859024
